(49,0): 1 2 0
(84,0): 2 3 0
(49,1): 0 1 2 0
(84,1): 0 2 3 0
(49,2): 0 1 2 0
(84,2): 0 2 3 0
(49,3): 0 1 2 0
(84,3): 0 2 3 0
(49,4): 0 1 2 0
(84,4): 0 2 3 0
(49,5): 0 1 2 0
(84,5): 0 2 3 0
(49,6): 0 1 2 0
(84,6): 0 2 3 0
(49,7): 0 1 2 0
(84,7): 0 2 3 0
(49,8): 0 1 2 0
(84,8): 0 2 3 0
(49,9): 0 1 2 0
(84,9): 0 2 3 0
(49,10): 0 1 2 0
(84,10): 0 2 3 0
(49,11): 0 1 2 0
(84,11): 0 2 3 0
(49,12): 0 1 2 0
(84,12): 0 2 3 0
(49,13): 0 1 2 0
(84,13): 0 2 3 0
(49,14): 0 1 2 0
(84,14): 0 2 3 0
(49,15): 0 1 2 0
(84,15): 0 2 3 0
(49,16): 0 1 2 0
(84,16): 0 2 3 0
(49,17): 0 1 2 0
(84,17): 0 2 3 0
(49,18): 0 1 2 0
(84,18): 0 2 3 0
(49,19): 0 1 2 0
(84,19): 0 2 3 0
(49,20): 0 1 2 0
(84,20): 0 2 3 0
(49,21): 0 1 2 0
(84,21): 0 2 3 0
(49,22): 0 1 2 0
(84,22): 0 2 3 0
(49,23): 0 1 2 0
(84,23): 0 2 3 0
(49,24): 0 1 2 0
(84,24): 0 2 3 0
(49,25): 0 1 2 0
(84,25): 0 2 3 0
(49,26): 0 1 2 0
(84,26): 0 2 0 0
(85,26): 3 0 0 4
(86,26): 3 0 0 4
(87,26): 3 0 0 4
(88,26): 3 0 0 4
(89,26): 3 0 0 4
(90,26): 3 0 0 4
(91,26): 3 0 0 4
(92,26): 3 0 0 0
(93,26): 3 0 0 5
(94,26): 3 0 0 5
(95,26): 3 0 0 5
(96,26): 3 0 0 5
(97,26): 3 0 0 5
(98,26): 3 0 0 5
(99,26): 3 0 0 5
(100,26): 3 0 0 5
(101,26): 3 0 0 5
(102,26): 3 0 0 5
(103,26): 3 0 0 5
(104,26): 3 0 0 5
(105,26): 3 0 0 5
(106,26): 3 0 0 5
(107,26): 3 0 0 5
(108,26): 3 0 0 5
(109,26): 3 0 0 5
(110,26): 3 0 5
(49,27): 0 1 2 0
(84,27): 0 2 4 0
(92,27): 0 4 5 0
(49,28): 0 1 2 0
(84,28): 0 2 4 0
(92,28): 0 4 5 0
(49,29): 0 1 2 0
(84,29): 0 2 4 0
(92,29): 0 4 5 0
(49,30): 0 1 2 0
(84,30): 0 2 4 0
(92,30): 0 4 5 0
(49,31): 0 1 2 0
(84,31): 0 2 4 0
(92,31): 0 4 5 0
(49,32): 0 1 2 0
(84,32): 0 2 4 0
(92,32): 0 4 5 0
(49,33): 0 1 2 0
(84,33): 0 2 4 0
(92,33): 0 4 5 0
(49,34): 0 1 0 0
(50,34): 2 0 0 6
(51,34): 2 0 0 6
(52,34): 2 0 0 6
(53,34): 2 0 0 6
(54,34): 2 0 0 6
(55,34): 2 0 0 6
(56,34): 2 0 0 6
(57,34): 2 0 0 6
(58,34): 2 0 0 6
(59,34): 2 0 0 6
(60,34): 2 0 0 6
(61,34): 2 0 0 6
(62,34): 2 0 0 6
(63,34): 2 0 0 6
(64,34): 2 0 0 0
(65,34): 2 0 0 7
(66,34): 2 0 0 7
(67,34): 2 0 0 7
(68,34): 2 0 0 7
(69,34): 2 0 0 7
(70,34): 2 0 0 7
(71,34): 2 0 0 7
(72,34): 2 0 0 7
(73,34): 2 0 0 7
(74,34): 2 0 0 7
(75,34): 2 0 0 7
(76,34): 2 0 0 7
(77,34): 2 0 0 7
(78,34): 2 0 0 7
(79,34): 2 0 0 7
(80,34): 2 0 0 7
(81,34): 2 0 0 0
(82,34): 2 0 0 8
(83,34): 2 0 0 8
(84,34): 0 0 0 8
(85,34): 4 0 0 8
(86,34): 4 0 0 8
(87,34): 4 0 0 8
(88,34): 4 0 0 8
(89,34): 4 0 0 8
(90,34): 4 0 0 8
(91,34): 4 0 0 8
(92,34): 0 0 5 0
(49,35): 0 1 6 0
(64,35): 0 6 7 0
(81,35): 0 7 8 0
(92,35): 0 8 5 0
(49,36): 0 1 6 0
(64,36): 0 6 7 0
(81,36): 0 7 8 0
(92,36): 0 8 5 0
(49,37): 0 1 6 0
(64,37): 0 6 7 0
