(49,0): L->1 R->2 U->0
(84,0): L->2 R->3 U->0
(49,1): D->0 L->1 R->2 U->0
(84,1): D->0 L->2 R->3 U->0
(49,2): D->0 L->1 R->2 U->0
(84,2): D->0 L->2 R->3 U->0
(49,3): D->0 L->1 R->2 U->0
(84,3): D->0 L->2 R->3 U->0
(49,4): D->0 L->1 R->2 U->0
(84,4): D->0 L->2 R->3 U->0
(49,5): D->0 L->1 R->2 U->0
(84,5): D->0 L->2 R->3 U->0
(49,6): D->0 L->1 R->2 U->0
(84,6): D->0 L->2 R->3 U->0
(49,7): D->0 L->1 R->2 U->0
(84,7): D->0 L->2 R->3 U->0
(49,8): D->0 L->1 R->2 U->0
(84,8): D->0 L->2 R->3 U->0
(49,9): D->0 L->1 R->2 U->0
(84,9): D->0 L->2 R->3 U->0
(49,10): D->0 L->1 R->2 U->0
(84,10): D->0 L->2 R->3 U->0
(49,11): D->0 L->1 R->2 U->0
(84,11): D->0 L->2 R->3 U->0
(49,12): D->0 L->1 R->2 U->0
(84,12): D->0 L->2 R->3 U->0
(49,13): D->0 L->1 R->2 U->0
(84,13): D->0 L->2 R->3 U->0
(49,14): D->0 L->1 R->2 U->0
(84,14): D->0 L->2 R->3 U->0
(49,15): D->0 L->1 R->2 U->0
(84,15): D->0 L->2 R->3 U->0
(49,16): D->0 L->1 R->2 U->0
(84,16): D->0 L->2 R->3 U->0
(49,17): D->0 L->1 R->2 U->0
(84,17): D->0 L->2 R->3 U->0
(49,18): D->0 L->1 R->2 U->0
(84,18): D->0 L->2 R->3 U->0
(49,19): D->0 L->1 R->2 U->0
(84,19): D->0 L->2 R->3 U->0
(49,20): D->0 L->1 R->2 U->0
(84,20): D->0 L->2 R->3 U->0
(49,21): D->0 L->1 R->2 U->0
(84,21): D->0 L->2 R->3 U->0
(49,22): D->0 L->1 R->2 U->0
(84,22): D->0 L->2 R->3 U->0
(49,23): D->0 L->1 R->2 U->0
(84,23): D->0 L->2 R->3 U->0
(49,24): D->0 L->1 R->2 U->0
(84,24): D->0 L->2 R->3 U->0
(49,25): D->0 L->1 R->2 U->0
(84,25): D->0 L->2 R->3 U->0
(49,26): D->0 L->1 R->2 U->0
(84,26): D->0 L->2 R->0 U->0
(85,26): D->3 L->0 R->0 U->4
(86,26): D->3 L->0 R->0 U->4
(87,26): D->3 L->0 R->0 U->4
(88,26): D->3 L->0 R->0 U->4
(89,26): D->3 L->0 R->0 U->4
(90,26): D->3 L->0 R->0 U->4
(91,26): D->3 L->0 R->0 U->4
(92,26): D->3 L->0 R->0 U->0
(93,26): D->3 L->0 R->0 U->5
(94,26): D->3 L->0 R->0 U->5
(95,26): D->3 L->0 R->0 U->5
(96,26): D->3 L->0 R->0 U->5
